,Customer,Date,Rating,Review Title,Review Body
20,Malathy ,2020-11-08,5.0,Dispute goods sale hare,"  Amazon prime giving disputed prodact of samsung or any else company.... And they know well that what kind of disputed product they sale..... So Amazon printed ""You could mention ""fingerprint reader"", ""battery life"" and ""screen quality""."" .... I have one of the problems ..... And one of my friend buy same product at same day from a retail shop the problem I am facing he can do it like cake scroll....."
21,Apurv Choudhary,2020-08-01,1.0,MAKE INDIA PRODUCT AND BRAND,  ProsOS IS GOODCAMERA IS AMAZIMGLOOKS ARE GOODCONSPRICE LITTLE BIT HIGHER.COULD BE AROUND 18K.LITTLE BIT BULKYSOMETIMES SLOW.ANYWAYS LOVING THE USAGE.4/5 RATING FROM MY SIDE.
22,Akhand Bhandari,2020-07-21,4.0,Samsung A31 review.,  Battery life one thing I liked most; and phone does not get heated.But texts suddenly go back while I am engaged in reading them.And most worrisome are the preloaded Apps which I do not need. Thank you..
23,Rahul Dongre,2020-07-10,1.0,On screen finger not working,  On screen finger is not at all working even after changed with another one.
24,VM,2020-06-05,5.0,great phone,"  It is a very good phone. Battery life is really great. I am quite happy with the purchaseAnd its camera is amazing .Not only does the Galaxy A31 sport a large 5,000mAh(typical) battery, but the geometric design with a glossy finish make it Awesome both on the inside and the outside. Choose from Prism Crush Black, Prism Crush White or Prism Crush Blue."
25,sajjad,2020-06-04,1.0,Camera quality is bad,  The build quality and look is perfect and its easy to handle despite having much bigger screen. But the camera quality is very awful. If you are looking for best camera as well then don't go for this phone.
26,Amazon Customer,2020-09-10,1.0,Looks like premium,  Best mobile in 20k
27,Nilesh Choubey,2020-08-14,5.0,Not recommended,"  Poor quality product by samsung.Fingerprint reader and face recognition rarely works...Within a month of use, the keypad is hanging every now and then..."
28,Shama Bhat T.R,2020-08-11,3.0,Good,  Microphone not working after 1 month
29,Sudhakar,2020-08-13,1.0,Poor performance,"  Overall quality Poor, within one month fingerprint sensor has issues which was already quite slow to begin with. Poor camera quality. Poor touch. Not worth the money. Battery life is good, but charger is very bad, takes up to 2-3 hours to full charge"
30,Ayushi vashisht,2020-09-03,5.0,Update for camera and videos,"  Phone is overall good and its performance is also good, but is lacking at its sound quality and camera department. Camera doesn't take good picture at low light areas/ evening and there is no options to capture slow motion/ time lapes videos. Hope with software update samsung gets it done."
31,ABHISHEK CHILLARGE ,2020-08-22,2.0,With respect to money its a bad deal for me,"  Finger senser working intermittent causing late response on every activity. Volte services denied by airtel,video call not possible.phone get heated when connected with smart view with Tv"
32,senthamizh s.,2020-06-27,5.0,must buy,  Very good phone
33,Rupal Singh,2020-10-15,1.0,Heating issue and worst processor,"  Don't buy this product more heating issue and this must of cost this product is not worth, due to worst processor and macro camera not working properly."
34,Amit Kumar Ghosh,2020-06-22,1.0,Worst products,"  Processor is slow, camera quality is bad. Battery get easily exhausted after normal use. Expensive in this price ranges"
35,Amazon Customer,2020-08-27,1.0,Worst phone...Samsung A31,"  Worst phone @19000 range...I purchased 2 months ago....company is claiming heavy duty battery....but its drainage is very high....apart from this...processor is very slow....as a result is hanging.....dont go with samsung....in this range redmi, realme is good"
36,VM,2020-06-05,5.0,Useless & Worthless Product,  Most useless & defective mobile i ever bought on Amazon.Touch dont work properlyMobile Charging is defectiveDisplay dont work properly
37,sajjad,2020-06-04,1.0,Good performance,  Overall it is good phone with Knox Security feature and parental rights to restrict kids.
38,Amazon Customer,2020-08-16,3.0,Nice mobile near by 20000 rs.,"  Battery and camera is best, and also best for display and network.As per 6 gb ram not that much of faster but quite enough.Overall processing is good as per price range. If you looking for best phone near by 20000. Then A31 is one of the good options."
39,Nivi,2020-07-26,1.0,Good Phone with a good confiugration,"  Pricing, it is bit on higher side and secondly  the speaker give on bottom of the phone."
40,sushil jain,2020-06-23,5.0,functionality  is poor,"  Not so upto mark same as opposed type,one day usage said storage is full,can't download ny media,mobile hotspot by default condition not working,screen shot button not working.these problem faced in 1 day use.later on dontbkkow how many will come up"
41,JAGAN,2020-08-14,1.0,Rich except feeble call volume,"  Like - posh, comfortable, lot of features.Dislike - poor volume for phone. Struggle to hear the other side. Wonder how Samsung didn't check this"
42,Divyanshu Srivastava,2020-11-17,1.0,heating and hanging issue.,"  There is nothing to like about this phone.It was never expected from a brand like Samsung. The phone started heating, phone screen freezes. you cant make a call in emergency.Don t waste money on this phone.Better go for other brands."
43,Satyendra Kumar Jha,2021-01-22,4.0,ALL INDIANS LOOKING FOR NON CHINESE PHONE IN THIS SEGMENT MUST BUY SAMSUNG GALAXY A31,"  Samsung galaxy A31. Such a value of Money. The camera quality is fabulous. The look and warmth of the phone is awesome. Its very handy and its extremely user-friendly. If you are looking for a non Chinese brand and a good phone, this should be your choice."
44,Sugat Bhalshankar,2021-01-15,1.0,Bad option for Gamers,"  Except for games like pubg, this phone is goodTouch is not smooth"
45,Digvijay Singh,2020-11-22,5.0,Samsung A 31,"  Overall the quality of the device is value for money spend. But, the features are less advance compared to old Samsung A50. LCD display quality is also low compared to A 50. Good Camera Quality but slow-motion/ hyper motion is not available."
46,Dayanand Nimbalkar,2020-08-16,4.0,good.,"  On.screen fingerprint is little slow.Face recognition need to be faster.sad about missing of Slow motion video.Performance is best.Battery satisfied, comes one full day.  charger length is very short.Best phone."
47,Deepak Mehta,2020-08-03,4.0,Best budget Phone,"  This review is after 1 month. I am happy with the product but they reduced 1000/- rps after the launch which is not appreciated. Overall the battery backup, performance, screen brightness is good. So far all good."
48,VM,2020-06-05,5.0,Takes 6 hours to full charge and gets Heats up quickly,"  Taking prolong time to get full charge, it takes 2 hours to charge 40% and rest it takes another 4 hours to full charge.Battery gets down quickly and phone heats up so quickly.Need to register a complain in service center."
49,sajjad,2020-06-04,1.0,Absolutely unreliable product,"  It started giving trouble within two months of purchase, six months later it has stopped working. The camera is of bad quality with unrealistic colours"
50,moumita,2020-08-18,2.0,Worth it!!!!,  Great phone. A non Chinese product. Value for money.
51,Dharmalingam Pavadaisamy,2020-07-31,4.0,Replacement of glassware,  Complaint :Dislike being it's display glass is broken as a long line by mishandling . What will I do for  this complaint. Please give directions as early as possible.  Yours faithfully  K.S.Velayudhan
52,dinakrishna,2020-12-10,1.0,Awasome Mobile at Great Range,"  Its AMOLED screen is just awesome in Quality.Good Camera, decent quite  speakers.Samsung pay and edge screen are quite handy and useful.Best part is its not just ensembled but its manufactured in INDIA."
53,GAURAV,2020-08-16,5.0,Please stop frequent updates and samsung personal apps which are useless to 90 percent users,"  Good product .... but  samsung software updates are daily annoying... As I bought it to my father ,who is novice to android phones ... it has become a morning routine to update his phone with daily updates notifications"
54,Ramprasad k,2020-07-03,3.0,phone is defective,"  ring tone not working, speaker not functioning, is spite of sending for repair at Samsung service center, phone is not repaired, need replacement"
55,Nailesh L.,2020-09-04,4.0,👍,  Great battery 1.5 days fingerprint quick and screen response good
56,Yathin C P,2020-10-20,4.0,"Good phone, camera is not so good as expected it should be","  Giving 1 star less for Camera, rest phone is good. they should work on CAMERA CLARITY"
57,DILEEP THANKACHAN,2020-07-05,5.0,Worst Phone ever,"  I have purchased this phone 2 months back after my One plus 5 screen got damaged. This Samsung A31 phone really not worth buying.  Performance is very slow, biometric quality is very poor. Pls don't buy this phone..."
